sentence,label,category,difficulty
Grizzly bears (Ursus arctos) consumed huckleberries (Vaccinium membranaceum) and dispersed viable seeds across mountain slopes.,1,seed_dispersal,easy
Zika virus cases surged in several Latin American countries during the 2015-2016 outbreak period.,0,epidemiology,medium
Mosquito larvae were reared in the laboratory at 27°C with a 12-hour light cycle.,0,methodology,medium
Carpenter bees (Xylocopa virginica) buzz-pollinated tomato flowers (Solanum lycopersicum) in greenhouse settings.,1,pollination,easy
Helicobacter pylori bacteria colonized the gastric mucosa of infected humans and triggered chronic inflammation.,1,host-pathogen,medium
The two species were captured in the same trap but no direct interaction was documented.,0,borderline,medium
Necropsies were performed on stranded marine mammals to determine cause of death.,0,methodology,medium
Demodex folliculorum mites colonized human hair follicles and fed on sebum and skin cells.,1,ectoparasitism,medium
African swine fever virus infected domestic pigs and caused severe hemorrhagic disease.,1,host-pathogen,easy
Antifungal spray applications were used to manage white-nose syndrome in bat hibernacula.,0,treatment,medium
Desert locusts (Schistocerca gregaria) consumed entire fields of millet (Pennisetum glaucum) during swarming events.,1,herbivory,easy
Whether the observed bite resulted in venom transfer was not established in the field notes.,0,borderline,hard
Hantavirus passed from infected deer mice to humans through inhalation of aerosolized rodent excreta.,1,zoonosis,medium
"The emerald ash borer (Agrilus planipennis) larvae tunneled through the inner bark of ash trees (Fraxinus americana), disrupting nutrient flow.",1,herbivory,medium
Brucella abortus transmitted from infected cattle to veterinarians through contact with placental tissue during calving.,1,zoonosis,medium
Cane toads (Rhinella marina) competed with native frog species for invertebrate prey across Australian wetlands.,1,competition,medium
Cedar waxwings (Bombycilla cedrorum) ingested juniper berries (Juniperus virginiana) and dispersed the seeds through their droppings.,1,seed_dispersal,easy
The Cooper's hawk (Accipiter cooperii) struck and killed a mourning dove (Zenaida macroura) in suburban backyards.,1,predation,easy
It remains unclear whether the beetle larvae fed on the root tissue or merely tunneled through dead wood.,0,borderline,hard
"The tick was removed before engorgement could be confirmed, leaving feeding status ambiguous.",0,borderline,hard
Nectar-feeding bats (Leptonycteris yerbabuenae) pollinated saguaro cactus flowers (Carnegiea gigantea) during nocturnal visits.,1,pollination,medium
Avian influenza virus (H5N1) infected wild mallards (Anas platyrhynchos) and replicated in their respiratory tract.,1,host-pathogen,easy
"White-nose syndrome fungus (Pseudogymnoascus destructans) infected hibernating little brown bats (Myotis lucifugus), depleting their fat reserves.",1,host-pathogen,medium
Many bird species exhibit complex migratory behavior tied to seasonal changes.,0,generic,easy
The dragonfly nymph (Anax imperator) seized and consumed mosquito larvae (Culex pipiens) underwater.,1,predation,easy
Acacia ants (Pseudomyrmex ferrugineus) defended Acacia collinsii trees from herbivores in exchange for nectar and nesting space.,1,mutualism,easy
Argentine ants (Linepithema humile) displaced native ant species from foraging territories in Mediterranean ecosystems.,1,competition,medium
"Pollen grains were found on the bee's body, but visitation to a specific flower species was not recorded.",0,borderline,medium
"Newcastle disease virus infected free-ranging cormorants (Phalacrocorax auritus), causing large-scale die-offs.",1,host-pathogen,medium
Cholera outbreaks are frequently associated with disruptions to municipal water treatment infrastructure.,0,epidemiology,medium
Polar bears (Ursus maritimus) ambushed and killed ringed seals (Pusa hispida) at breathing holes in sea ice.,1,predation,easy
Feather mites (Analges passerinus) lived among the plumage of house sparrows (Passer domesticus) and fed on skin debris.,1,ectoparasitism,easy
Camera traps were deployed along forest trails to monitor mammal activity over six months.,0,methodology,easy
The praying mantis (Mantis religiosa) seized and devoured a honeybee (Apis mellifera) mid-flight.,1,predation,easy
Trichinella spiralis larvae encysted within the skeletal muscle tissue of domestic pigs (Sus domesticus).,1,endoparasitism,medium
"Sea otter (Enhydra lutris) predation on sea urchins prevented urchin barrens, indirectly sustaining kelp forest ecosystems.",1,indirect,medium
Mosquitoes of the genus Aedes are known vectors for several arboviral diseases worldwide.,0,background,easy
Antibiotic therapy was administered to cattle herds affected by bovine respiratory disease.,0,treatment,medium
Tiger sharks (Galeocerdo cuvier) preyed on green sea turtles (Chelonia mydas) near nesting beaches.,1,predation,medium
Oak trees can live for several centuries under favorable growing conditions.,0,generic,easy
Sea turtles return to nesting beaches after years spent foraging in open ocean habitats.,0,background,easy
Plasmodium knowlesi infected long-tailed macaques (Macaca fascicularis) and occasionally spilled over into human hosts in Southeast Asia.,1,host-pathogen,hard
"Agoutis (Dasyprocta punctata) buried Brazil nut (Bertholletia excelsa) seeds in scattered caches, aiding forest regeneration.",1,seed_dispersal,medium
Soldier flies (Hermetia illucens) transferred pollen between wild carrot flowers (Daucus carota) while foraging.,1,pollination,easy
Blood samples were collected from trapped rodents and stored in liquid nitrogen for later analysis.,0,methodology,medium
Hummingbirds (Archilochus colubris) transferred pollen between trumpet creeper flowers (Campsis radicans) while feeding on nectar.,1,pollination,easy
Ticks were collected by flagging vegetation and identified to species under a dissecting microscope.,0,methodology,medium
