text	label	interaction_type	source
Anopheles gambiae mosquitoes were reared in insectary conditions and blood-fed on sheep to maintain the colony.	0	methodology	synthetic_gold
Cotesia glomerata larvae hatched inside Pieris brassicae caterpillars, feeding on the host tissues before pupating externally.	1	parasitoidism	synthetic_gold
Eulaema meriana collected and deposited pollen on Euglossa orchid flowers during fragrance-gathering visits.	1	pollination	synthetic_gold
The African lion (Panthera leo) preyed on wildebeest (Connochaetes taurinus) during the dry season migration.	1	predation	synthetic_gold
The mountain pine beetle (Dendroctonus ponderosae) bored into Pinus contorta phloem and fed on inner bark tissue.	1	herbivory	synthetic_gold
Symbiodinium sp. photosynthesised within the tissues of Acropora millepora coral, providing the host with fixed carbon.	1	mutualism	synthetic_gold
Toxoplasma gondii formed cysts in the brain tissue of Mus musculus following oral ingestion of oocysts.	1	parasitism	synthetic_gold
The distribution of Quercus robur extends from western Europe to the Ural Mountains.	0	taxonomy	synthetic_gold
Peregrine falcons (Falco peregrinus) stooped on and killed common starlings (Sturnus vulgaris) mid-flight.	1	predation	synthetic_gold
Wolves are known to be predators of elk in many ecosystems.	0	background	synthetic_gold
Frankia alni formed nitrogen-fixing nodules on Alnus glutinosa roots, supplying the tree with combined nitrogen.	1	mutualism	synthetic_gold
Nicotiana attenuata produces trypsin protease inhibitors in response to wounding.	0	physiology	synthetic_gold
We exposed Mus musculus to Plasmodium berghei-infected red blood cells to measure cytokine responses.	0	methodology	synthetic_gold
Whole-genome sequencing of Cotesia glomerata revealed expansions in venom gene families.	0	genomics	synthetic_gold
Aedes aegypti and Homo sapiens populations overlap extensively in tropical urban environments.	0	cooccurrence	synthetic_gold
Hyenas (Crocuta crocuta) drove lions (Panthera leo) from a zebra carcass and consumed the kill themselves.	1	kleptoparasitism	synthetic_gold
Canis lupus and Cervus canadensis both inhabit the boreal forests of North America.	0	cooccurrence	synthetic_gold
The relationship between mycorrhizal fungi and plant roots has been studied extensively.	0	background	synthetic_gold
Lycaena arion caterpillars were carried into Myrmica sabuleti nests and fed on ant larvae for ten months.	1	myrmecophily	synthetic_gold
Varroa destructor has been identified as a major threat to honeybee populations globally.	0	background	synthetic_gold
Rhizobium leguminosarum cultures were grown on yeast mannitol agar at 28°C before inoculation trials.	0	methodology	synthetic_gold
Wolbachia pipientis carries a bacteriophage (WO) integrated into its genome.	0	genomics	synthetic_gold
Corvus monedula has been classified as a species of least concern by the IUCN.	0	taxonomy	synthetic_gold
Invasive Phytophthora cinnamomi suppressed Quercus suber regeneration by competing for soil water and nutrients.	1	competition	synthetic_gold
Cotesia glomerata parasitoid wasps were maintained in the laboratory on Pieris brassicae for colony maintenance.	0	methodology	synthetic_gold
Neotyphodium coenophialum grew endophytically within Festuca arundinacea tissues and produced alkaloids that deterred insect herbivores.	1	mutualism	synthetic_gold
The Varroa destructor genome encodes a suite of salivary proteins expressed during feeding.	0	genomics	synthetic_gold
Apis mellifera colonies were kept in wooden hives adjacent to Malus domestica orchards for the duration of the experiment.	0	methodology	synthetic_gold
The parasitoid wasp was unable to parasitise Manduca sexta larvae beyond the third instar.	0	negated	synthetic_gold
Anopheles gambiae inoculated Plasmodium falciparum sporozoites into the bloodstream of human hosts during feeding.	1	vectorOf	synthetic_gold
Habitat fragmentation has reduced connectivity between wolf populations in Europe.	0	environmental	synthetic_gold
Toxoplasma gondii tachyzoites were cultured in HeLa cell monolayers at 37°C.	0	methodology	synthetic_gold
Peromyscus leucopus tissue samples were collected from trapped individuals and stored at -80°C.	0	methodology	synthetic_gold
The abundance of Aedes aegypti was monitored weekly using ovitraps in urban areas.	0	monitoring	synthetic_gold
Glomus mosseae formed arbuscular mycorrhizal associations with Zea mays roots, enhancing phosphorus uptake.	1	mutualism	synthetic_gold
Elephants (Loxodonta africana) swallowed Acacia tortilis pods and excreted intact seeds up to 65 km away.	1	seed_dispersal	synthetic_gold
The great white shark (Carcharodon carcharias) attacked and consumed a Cape fur seal (Arctocephalus pusillus) near the surface.	1	predation	synthetic_gold
Apis mellifera and Malus domestica are commonly found in European orchards.	0	cooccurrence	synthetic_gold
Apis mellifera workers transferred pollen from Malus domestica anthers to stigmas while foraging for nectar.	1	pollination	synthetic_gold
Barn owls (Tyto alba) captured and ate house mice (Mus musculus) in agricultural fields.	1	predation	synthetic_gold
The hawkmoth Manduca sexta hovered at Nicotiana alata flowers and pollinated them while feeding on nectar.	1	pollination	synthetic_gold
Borrelia burgdorferi and Borrelia afzelii are both members of the Borrelia burgdorferi sensu lato complex.	0	phylogenetics	synthetic_gold
Manduca sexta larvae produce digestive enzymes that break down plant cell walls.	0	physiology	synthetic_gold
Apis mellifera did not visit Nicotiana attenuata flowers under field conditions.	0	negated	synthetic_gold
A phylogenetic analysis placed Ophiocordyceps unilateralis within the family Ophiocordycipitaceae.	0	phylogenetics	synthetic_gold
Honeybee colony losses exceeded 30% in Europe during the winter of 2014.	0	monitoring	synthetic_gold
Ips typographus larvae fed under the bark of Picea abies, girdling the trees and causing mortality.	1	herbivory	synthetic_gold
Manduca sexta eggs were placed on Nicotiana attenuata leaves to test feeding preference.	0	methodology	synthetic_gold
Seed dispersal by vertebrates plays an important role in plant community dynamics.	0	background	synthetic_gold
The ichneumon wasp Venturia canescens deposited eggs inside Ephestia kuehniella larvae, which were subsequently killed by the developing parasitoid.	1	parasitoidism	synthetic_gold
Apis mellifera workers synthesise royal jelly from hypopharyngeal gland secretions.	0	physiology	synthetic_gold
Plasmodium falciparum and Homo sapiens are found in sub-Saharan Africa.	0	cooccurrence	synthetic_gold
